Sample_ID,class,miR-30a-5p,miR-429,miR-519a-3p,miR-212-3p,miR-542-5p,miR-329-3p,miR-424-3p,miR-216a-3p,miR-128-3p,miR-20b-5p,miR-20a-5p,miR-410-3p,miR-335-3p,miR-339-3p,miR-205-5p,miR-210-3p,miR-92b-3p,miR-216a-5p,miR-216b-5p,miR-124-3p,miR-23c,miR-124-5p,miR-6727-5p,miR-1251-3p,miR-22-3p,miR-216b-3p,miR-4423-5p,miR-4423-3p,miR-222-3p,miR-5010-3p,miR-219a-1-3p,miR-4324,miR-217,miR-320e,miR-6738-5p,miR-92a-3p,miR-200b-3p,miR-141-3p,miR-141-5p,miR-195-3p,miR-34c-5p,miR-1915-3p,miR-375,miR-139-5p,miR-30a-3p,miR-15b-3p,miR-17-3p,miR-17-5p,miR-6516-3p,miR-6516-5p,miR-182-5p,miR-7-2-3p,miR-200c-3p,miR-139-3p,miR-34c-3p,miR-200a-5p,miR-200a-3p,miR-1307-5p,miR-19b-3p,miR-130b-5p,miR-346,miR-138-5p,miR-19b-1-5p,miR-769-5p,miR-19a-3p,miR-34a-5p,miR-34b-3p,miR-34b-5p,miR-135a-5p,miR-132-3p,miR-1237-5p,miR-328-3p,miR-491-5p,miR-676-3p,miR-29a-3p,miR-1180-3p,miR-3182,miR-106b-5p,miR-106b-3p,miR-101-5p,miR-101-3p,miR-873-5p,miR-96-5p,miR-301b,miR-30c-5p,miR-30c-2-3p,miR-887-3p,miR-4705,miR-93-3p,miR-93-5p,miR-30b-5p,miR-4636,miR-31-5p,miR-487a-3p,miR-183-5p,miR-3180-3p,miR-2681-3p,miR-488-5p,miR-25-3p,miR-25-5p
104-7316-1790_1,ATRT,9674,6,28,140,667,111,2091,2,4397,8428,8281,105,26,144,42,8843,17493,121,53,8916,438,140,11380,44,22800,0,12,20,58264,28,118,2325,48,1023,680,27118,53,348,5,94,95,1806,25,246,396,577,1326,14371,162,420,265,5,195,9,7,2,51,175,31373,922,3,680,188,661,14188,709,535,20,8713,971,18463,915,171,3,22126,270,442,13983,961,27,4146,0,495,627,16452,39,163,1,736,15879,13108,1,284,31,137,470,1,0,22773,117
104-7316-2582_1,ATRT,11525,22,15,788,264,762,371,4,3837,5844,5505,1224,78,63,53,1147,8572,917,21,8410,726,99,7299,0,50402,2,12,18,29521,39,9,1453,326,1201,480,16072,98,289,7,47,380,820,59,288,555,156,948,8782,203,433,357,12,161,4,68,10,183,205,26971,307,55,999,88,342,8291,17707,543,293,210,4080,28230,1580,91,6,54832,222,266,8663,404,153,13466,13,589,285,23557,49,132,0,267,7258,11594,9,555,479,144,377,3,17,8615,30
104-7316-2181_1,ATRT,64470,51,111,114,28,143,68,123,5357,11764,6270,175,104,23,433,1598,13481,13098,819,14823,2169,178,4092,71,17094,18,33,24,16536,63,34,2085,2133,999,368,27506,196,150,18,60,571,693,209,259,9163,299,1034,15258,102,214,277,22,109,20,58,14,157,119,32641,285,18,2417,126,455,7303,6541,394,153,38972,1447,7559,2276,121,14,6581,477,226,8655,445,329,14220,121,554,317,63676,537,182,28,435,11063,25636,27,1328,68,123,140,26,16,8262,52
112-7316-479_1,ATRT,19253,6,28,169,18,2933,31,4,157095,1717,3247,2383,2,130,14,738,3768,67,31,403491,205,896,4795,4,24659,3,3,4,1894,39,7,796,66,2163,158,6583,18,73,0,187,120,1431,43,1028,1167,42,1000,3569,24,63,117,28,23,26,11,1,37,292,18688,195,297,8957,51,757,4067,1624,37,35,154,2871,16162,3893,564,10,29902,351,2,8188,335,1279,26876,81,246,151,43868,71,62,357,248,4573,41753,3,773,771,81,126,119,136,5615,21
112-7316-3045_1,ATRT,9207,2,13,833,17,1591,38,0,16204,9200,16924,1245,438,98,366327,9601,9994,7,0,61091,128,285,6473,1,50387,0,6,6,1986,26,2,2369,13,2346,137,33174,11,367,8,58,87,2871,21,209,273,291,2408,20829,226,1211,11408,6,265,4,20,0,14,330,54267,455,46,1063,247,899,20629,15447,49,68,45,9045,7539,968,307,6,10420,256,11,15325,827,280,8548,14,18663,484,31106,42,209,43,574,15677,19870,12,114,368,5612,249,6,23,11891,26
104-7316-3020_1,Craniopharyngioma,12269,5469,10,46,24,161,74,5,1377,3879,6836,185,7,44,368926,2909,5423,4,4,26,4199,5,3982,7,31713,4,6,7,13479,22,6,4303,6,1624,386,17337,36001,54958,314,70,629,931,171,383,457,110,1371,8276,98,244,8650,13,28438,13,61,196,28342,106,32423,130,6,767,125,239,6361,10552,271,262,119,447,5015,1477,175,19,49054,100,22,9524,385,368,18699,55,19227,95,33633,60,16,5,281,7034,32183,9,28213,43,3533,106,2,6,9368,27
104-7316-100_1,Craniopharyngioma,14886,4378,12,190,43,520,88,17,8900,4937,5738,633,29,45,273093,3532,7556,48,19,7642,6642,55,11287,11,52812,5,43,57,15468,26,13,3195,41,1598,1560,15669,26942,44031,231,76,714,4086,102,1927,693,130,1025,8603,76,173,4750,19,27069,49,107,185,22064,147,23225,204,119,3371,90,325,7074,8344,668,258,806,1600,16225,1800,243,26,41194,239,312,8060,357,222,15144,73,10291,120,27604,64,124,18,293,7754,26408,18,16923,212,2353,432,11,51,8977,33
104-7316-3773_1,Craniopharyngioma,19158,3996,9,188,50,1230,52,1,7325,4107,5955,1320,24,50,287389,7323,12655,84,22,4736,3868,33,4156,7,32852,8,22,23,28007,29,9,7867,47,1524,497,19685,22078,42668,204,73,1869,750,412,1263,1360,116,1209,7289,68,126,4544,43,23893,42,149,146,19991,138,29164,184,152,3912,124,463,6407,10547,571,621,709,2042,5165,1579,311,9,35070,361,178,8506,309,315,15933,132,10498,116,38418,154,76,114,267,6049,31426,14,31896,475,1955,131,23,87,7675,18
104-7316-387_1,Craniopharyngioma,10154,4901,2,33,7,157,15,0,1184,3611,5208,187,16,26,369089,4747,6104,2,2,12,6835,1,2805,1,12417,1,9,3,13940,18,5,5064,8,1609,195,17271,30136,50774,239,42,267,498,256,202,286,88,1329,7255,62,162,5868,5,26146,10,22,189,24500,71,27540,161,16,501,148,165,6366,4336,321,103,262,262,3424,1234,88,11,22985,70,67,8633,346,259,17319,4,16388,95,25969,34,7,16,246,6545,29650,4,16263,45,3046,120,3,9,9276,23
104-7316-3316_1,Craniopharyngioma,10525,7058,4,967,384,2129,533,1,4271,1413,2166,3574,7,112,415,2038,3996,73,25,37,633,2,5286,10,40952,2,7,23,3584,39,4,2194,24,758,257,6562,28789,37237,309,36,85,1179,78935,1171,511,140,650,2869,91,214,5199,1786,22383,45,6,323,30816,132,13877,107,9,371,42,436,3548,4536,130,67,1130,11172,5323,2565,210,9,57538,1011,12,4986,270,529,15251,13,11352,181,19307,53,96,2,190,2537,30128,5,3218,1276,3762,87,3,82,3673,16
