Sample_ID,class,miR-30a-5p,miR-429,miR-519a-3p,miR-212-3p,miR-542-5p,miR-329-3p,miR-424-3p,miR-216a-3p,miR-128-3p,miR-20b-5p,miR-20a-5p,miR-410-3p,miR-335-3p,miR-339-3p,miR-205-5p,miR-210-3p,miR-92b-3p,miR-216a-5p,miR-216b-5p,miR-124-3p,miR-23c,miR-124-5p,miR-6727-5p,miR-1251-3p,miR-22-3p,miR-216b-3p,miR-4423-5p,miR-4423-3p,miR-222-3p,miR-5010-3p,miR-219a-1-3p,miR-4324,miR-217,miR-320e,miR-6738-5p,miR-92a-3p,miR-200b-3p,miR-141-3p,miR-141-5p,miR-195-3p,miR-34c-5p,miR-1915-3p,miR-375,miR-139-5p,miR-30a-3p,miR-15b-3p,miR-17-3p,miR-17-5p,miR-6516-3p,miR-6516-5p,miR-182-5p,miR-7-2-3p,miR-200c-3p,miR-139-3p,miR-34c-3p,miR-200a-5p,miR-200a-3p,miR-1307-5p,miR-19b-3p,miR-130b-5p,miR-346,miR-138-5p,miR-19b-1-5p,miR-769-5p,miR-19a-3p,miR-34a-5p,miR-34b-3p,miR-34b-5p,miR-135a-5p,miR-132-3p,miR-1237-5p,miR-328-3p,miR-491-5p,miR-676-3p,miR-29a-3p,miR-1180-3p,miR-3182,miR-106b-5p,miR-106b-3p,miR-101-5p,miR-101-3p,miR-873-5p,miR-96-5p,miR-301b,miR-30c-5p,miR-30c-2-3p,miR-887-3p,miR-4705,miR-93-3p,miR-93-5p,miR-30b-5p,miR-4636,miR-31-5p,miR-487a-3p,miR-183-5p,miR-3180-3p,miR-2681-3p,miR-488-5p,miR-25-3p,miR-25-5p
104-7316-394_1,Ependymoma,26426,37,0,303,62,85,68,7,3854,3838,9327,64,10,167,6,23516,79973,310,161,251,376,4,1987,22,54332,0,245,448,3028,70,11,2721,149,2786,157,29495,270,46,1,309,20319,120,1937,298,2501,90,1208,9194,48,239,44,10,22,13,1711,5,294,307,26587,301,256,237,126,739,6436,12745,1480,4773,4131,2119,4245,5414,543,68,66854,3335,52,9706,448,490,11436,1,38,280,53401,222,969,33,346,11821,39604,3,38335,27,11,93,16,70,10839,23
104-7316-198_1,Ependymoma,19354,9,1,104,32,114,33,0,3080,3336,9627,101,6,78,6,1233,71773,11,2,27,243,0,3008,27,22268,0,670,1292,7409,37,20,2493,15,1048,80,26635,106,41,1,190,12542,211,3051,1417,2158,36,999,8912,56,413,42,14,39,69,1279,2,97,128,27323,218,97,33,142,360,7523,9586,958,3009,3717,1349,7460,3686,375,29,21497,1833,15,11816,398,220,9009,17,25,114,35548,207,119,15,423,12116,21002,5,65,39,10,235,6,16,17181,42
104-7316-47_1,Ependymoma,11531,15,2,217,23,515,21,0,6756,8223,13316,606,11,125,2,5431,66603,10,0,6166,153,56,5107,63,18870,0,14,36,2562,51,89,1372,12,3821,262,32112,93,15,2,194,99,352,190,1200,1056,102,1477,16620,76,440,65,24,5,35,13,1,100,443,32613,336,54,170,202,768,7247,4356,109,39,2813,1955,8594,2359,143,82,15852,1179,13,19243,954,167,3656,18,57,628,31108,91,1086,1,779,22842,25650,12,19235,262,22,204,4,79,15120,63
104-7316-384_1,Ependymoma,23364,35,1,1012,78,582,78,0,2861,3177,8288,618,7,127,1,28504,76785,16,4,2263,247,10,11049,21,42671,0,273,392,13801,58,20,2015,19,3184,322,26986,295,85,5,152,59642,1439,2403,342,1826,72,1161,8798,36,311,173,10,36,19,4435,7,325,433,26755,301,302,1914,114,637,6452,10379,3634,13779,2251,5569,10770,4043,363,13,47671,2507,9,9861,470,337,7735,1,138,314,42028,150,446,22,305,10135,51226,6,48374,463,38,317,8,66,10502,17
104-7316-3319_1,Ependymoma,13415,18,0,163,31,214,49,0,2446,3188,7588,234,8,115,2,10124,87602,4,3,2735,132,17,3073,26,23803,0,275,533,5109,38,6,1234,22,2305,188,24164,188,29,0,141,40795,419,2415,325,1035,116,1120,8347,57,375,222,4,8,12,3771,5,168,126,25921,278,159,1487,98,845,6880,5890,2432,8229,2506,1691,6081,2715,306,30,35150,3316,2,9644,348,191,6139,275,241,160,31095,88,603,16,244,9819,37402,5,30946,107,88,118,2,51,11230,27
104-7316-2959_1,Ependymoma,27583,20,0,931,11,22,44,12,2901,1960,3703,43,7,116,1,6999,71743,1449,797,431,40,4,3914,55,50454,7,53,88,1450,30,63,1255,625,3597,259,16359,87,84,0,450,6664,447,68,244,2370,127,543,4625,89,537,11,21,63,18,801,6,110,435,10838,309,919,752,48,567,2965,11599,650,1478,4251,6011,4394,6189,297,112,96626,2667,11,10765,713,614,6633,5,27,472,40031,203,1517,0,435,13958,46751,0,333,9,9,109,0,214,11934,28
104-7316-2666_1,Ependymoma,24827,210,3,223,14,7278,21,0,3539,8083,13882,9226,7,250,49,6994,92487,119,43,6160,475,57,2284,189,28672,1,86,144,4248,61,111,2874,73,1741,110,42208,735,36,5,356,1372,208,2,280,2136,319,3023,18523,81,468,364,11,28,6,184,15,842,420,53905,1718,838,66,224,865,18736,10591,204,302,3683,1839,3718,5584,87,155,64192,3204,6,30681,1339,229,4742,0,499,6456,53692,130,1115,3,1142,22567,46637,3,131,1127,222,87,2,167,24870,68
104-7316-3300_1,Ependymoma,44494,30,2,157,91,431,252,0,2563,5195,7909,803,66,66,7,10605,17835,200,49,2983,333,38,21153,47,51555,4,190,260,47302,47,72,1800,67,2187,918,17986,160,81,3,15,7400,2384,148,474,5519,142,997,10082,87,254,53,6,48,12,951,6,154,421,24014,768,160,3163,135,292,7229,17159,664,1571,3260,1276,8743,1303,142,3,24966,649,120,12933,756,128,4239,6,75,1096,43486,472,343,3,482,13815,13870,21,5286,251,29,194,0,5,11078,70
104-7316-1886_1,Ependymoma,20982,30,1,252,66,270,78,1,3292,3393,5667,298,6,82,2,3961,49772,50,1,51,354,2,2966,29,32355,0,144,275,2021,24,32,2377,41,1793,204,18999,146,30,1,189,21555,323,1572,304,1789,126,740,6858,41,277,34,6,25,6,2071,3,150,282,20151,357,49,134,70,392,5615,5396,1795,4568,4399,1930,4833,3742,300,42,22159,2653,10,9601,424,155,5135,2,21,352,43723,162,795,23,325,10318,25338,1,835,131,12,120,5,26,12036,32
104-7316-2170_1,Ependymoma,26220,9,0,93,22,10,52,0,1460,1833,5561,4,10,132,1,6288,54192,18,3,2334,612,107,4833,8,42173,1,113,336,22395,42,23,2651,24,1449,276,17541,88,37,3,266,353,531,158,260,2612,34,593,4624,78,523,38,5,15,9,42,2,122,250,13995,111,52,324,92,416,3208,9078,131,111,1227,771,4852,4201,358,0,90465,2119,64,11288,613,404,10549,0,15,8,56756,273,197,15,259,9588,31670,28,97241,9,14,87,2,3,12760,65
104-7316-3292_1,Ependymoma,19887,18,6,61,80,114,134,3,1902,2069,3947,389,10,56,1,5608,12567,46,20,1004,108,4,11640,35,40226,0,126,140,31183,24,43,932,25,4188,768,9951,101,28,1,10,2939,793,109,133,2491,28,358,4639,49,223,31,0,19,2,285,3,117,842,8858,305,174,1136,52,177,2274,6422,216,560,1102,648,10293,887,72,0,18802,738,17,5212,334,59,1040,5,39,515,22376,213,490,3,233,7449,6630,3,1851,102,13,460,0,0,5614,27
104-7316-2182_1,Ependymoma,21864,46,0,75,12,46,45,0,2157,3909,8750,41,5,99,3,2286,54444,32,19,193,194,1,1412,15,35045,0,158,214,2232,31,9,1160,29,1148,68,20032,266,43,0,123,64347,114,3087,337,2021,87,780,9168,22,123,277,8,49,8,4464,7,235,145,23442,152,99,496,57,562,5818,5138,3834,15398,1554,881,2004,3470,308,33,33921,2267,12,9164,462,239,7292,1,211,110,48043,161,509,16,234,10591,28229,0,12009,12,97,30,7,14,10830,20
104-7316-451_1,Ependymoma,20420,53,1,325,21,3329,46,1,4854,7035,14816,4953,35,496,12,3819,38301,9,2,18532,101,104,2656,56,12742,1,86,108,1647,38,59,736,11,1842,115,35685,256,17,5,400,467,264,7,484,1469,230,4431,18220,70,412,120,8,8,20,62,3,282,325,54815,1578,95,93,213,528,16116,2357,117,125,2900,2939,2643,2161,60,151,64155,920,14,51858,1532,261,4736,7,140,4341,43352,104,558,0,1467,37352,53539,12,89,636,61,42,3,182,42172,134
104-7316-443_1,Ependymoma,18742,44,0,344,54,529,99,0,3593,3001,7480,424,7,87,13,9330,40574,218,6,451,143,14,5238,12,32526,0,149,240,9637,49,29,2342,110,2134,209,25895,434,33,2,258,413,679,35,534,1669,78,1475,7303,77,366,23,7,24,21,51,7,459,197,30708,395,17,1321,158,331,7650,7703,96,125,1567,3490,3948,2228,171,58,26647,716,24,9680,490,317,6984,16,25,237,37149,181,186,13,333,7278,29381,11,19080,151,4,105,5,23,11026,31
104-7316-889_1,Ependymoma,31545,37,1,187,61,212,97,4,6435,6584,13791,191,7,142,4,6857,70913,97,13,1847,231,36,3149,39,33850,4,177,331,2443,34,38,2739,63,2622,238,33513,246,74,5,325,15077,294,1267,1121,3252,110,2063,14827,46,342,55,12,54,34,1290,7,316,329,43108,432,184,612,190,584,10946,4880,1044,3324,4492,2108,8681,4778,351,109,25476,2771,18,16610,724,279,8276,87,61,285,65768,329,773,17,566,17699,38999,7,38434,97,15,144,2,111,17960,55
104-7316-873_1,Ependymoma,51789,34,0,262,158,226,263,0,10728,9731,14448,183,24,180,16,3621,107005,19,8,2079,729,46,4317,39,68411,0,264,498,3291,48,48,7312,40,3732,380,48287,234,110,10,294,31154,370,2081,868,5112,254,1899,18138,84,357,35,37,102,21,2562,21,211,437,50353,799,327,1385,235,974,13100,12228,2769,7954,7410,2254,9732,9038,679,101,50928,4772,56,17712,774,288,13650,4,38,734,108669,529,1808,34,700,21774,55648,9,35663,62,12,135,7,182,20171,62
104-7316-2648_1,Ependymoma,50318,80,1,172,32,28,41,5,3888,3642,8965,32,3,419,17,1256,60892,7,2,33,221,1,535,11,20123,1,1860,2610,940,21,20,3380,11,1796,31,25973,635,267,3,410,46994,46,119,1794,4822,126,1305,8396,19,204,7,11,130,45,4528,11,595,176,27545,193,156,383,182,286,6159,10647,3553,9544,5525,1535,872,5249,592,50,70760,1626,15,16214,736,465,17676,1,6,37,82928,356,381,27,430,14578,51847,5,66,18,4,34,7,19,23505,83
104-7316-174_1,Ependymoma,11190,14,1,7,12,25,31,3,579,2683,6903,41,0,23,1,930,6656,190,80,47,143,3,839,8,12461,0,15,31,4396,7,2,134,92,310,31,10056,38,28,1,45,121,59,17,165,1135,94,441,7004,9,64,212,3,18,2,15,0,46,64,14437,48,15,330,26,65,4577,1153,15,20,328,160,707,780,92,0,9669,272,2,7428,338,104,3910,0,158,35,18456,110,26,2,144,7506,11839,0,12653,13,64,24,0,0,8347,7
104-7316-455_1,Ependymoma,11676,28,1,452,47,272,134,4,2588,4716,12498,303,9,82,8,7490,19027,17,6,1360,108,13,8698,8,52463,4,114,187,13412,30,20,796,12,1605,443,21560,108,71,3,116,3418,984,102,737,1024,108,1298,12261,70,393,166,3,49,29,337,7,127,181,32463,298,51,151,102,238,9296,8155,285,718,842,3364,10967,1559,195,54,25678,376,14,11882,513,247,6487,12,150,282,22711,90,146,8,284,11361,18015,13,14439,116,69,219,5,15,11841,31
104-7316-1784_1,Ependymoma,11450,87,17,73,14,94,39,10,3100,7154,14866,58,7,122,7,1985,75914,22,22,27,263,16,2615,41,10917,15,60,170,359,25,68,1241,32,3578,128,39906,495,46,13,265,9101,273,473,107,774,119,2331,16954,82,464,20,17,10,12,776,19,443,199,48857,566,24,142,215,529,13017,10635,652,2077,2112,737,2609,3720,228,58,11342,1170,12,16212,873,195,5079,15,14,348,33069,90,653,22,666,20367,26348,12,7328,25,8,40,14,10,21408,71
104-7316-2156_1,Ependymoma,15052,27,5,320,32,2255,25,28,5135,4473,7330,2246,1,222,2,1984,61974,3322,1970,6274,244,41,1536,88,22307,45,274,637,1091,29,88,1361,1465,784,42,19887,139,60,2,218,7483,133,225,383,1259,178,2118,9293,36,286,34,10,43,10,770,5,218,264,38339,1385,128,2298,153,428,11425,4054,560,1534,6584,2544,2888,1731,195,28,61976,1407,9,22375,616,187,4691,9,27,1341,33618,78,683,23,635,14970,37278,7,29,594,11,25,6,50,18974,64
104-7316-1786_1,Ependymoma,29818,20,3,57,18,26,23,7,959,2308,6677,35,0,86,6,1059,15439,932,68,59,474,3,3925,18,41241,0,75,244,8948,18,9,828,522,621,218,10412,121,50,3,127,2864,308,100,286,2965,59,511,6391,26,275,225,3,36,11,228,3,148,118,15705,66,50,367,41,128,4170,7243,235,656,1853,686,5272,1470,425,3,49835,442,29,10069,409,262,7943,2,172,22,44795,292,62,15,166,9168,20480,3,50962,6,63,99,5,1,10791,22
112-7316-490_1,Ependymoma,20713,13,1,187,64,436,84,2,6243,10072,23958,705,11,87,6,7481,68846,26,4,1775,464,9,4135,41,35209,0,414,703,18517,37,24,5502,33,2208,221,58001,45,66,3,254,1100,480,896,1862,1673,142,2528,23269,98,574,98,14,45,43,155,6,69,159,62118,616,163,732,356,459,20520,12614,245,349,6707,2053,7430,3216,363,32,18165,1407,79,20622,895,351,14747,14,89,420,36259,178,172,7,615,20680,27492,10,286,281,32,144,4,6,24138,121
112-7316-2758_1,Ependymoma,30922,85,11,220,47,454,73,2,4211,4216,8452,437,6,99,5,3889,72434,60,24,4923,230,28,3716,33,49565,0,907,988,10659,47,19,1892,41,3155,206,28231,345,122,2,147,41750,311,1667,1041,2929,162,1232,10118,72,347,95,16,95,36,3773,10,416,258,23870,394,266,1617,121,665,5765,16921,2913,9802,3847,2075,2003,4429,297,16,42089,2765,55,12207,579,390,10171,32,143,714,52345,269,675,24,426,13458,34352,5,28399,118,31,92,8,76,11955,35
112-7316-496_1,Ependymoma,47343,73,0,1065,75,243,193,7,6923,11229,27834,260,35,225,20,32202,175807,35,22,2718,428,43,32842,96,138784,2,492,1050,12776,79,70,5565,90,12339,3112,75669,487,131,12,686,41222,4588,4329,691,3659,513,2716,28901,163,1354,1194,11,87,95,3579,36,678,889,76859,939,717,844,240,1503,22799,9064,3269,8486,8260,6735,55779,11663,808,87,72800,10304,11,30060,1483,766,26374,512,1323,460,78206,326,1992,55,801,33119,67449,12,45896,74,437,1130,16,83,43470,145
112-7316-88_1,Ependymoma,13700,8,1,137,24,58,79,1,1301,5050,13818,67,4,71,6,952,13493,241,17,98,238,1,6360,8,38219,2,99,181,13246,21,11,597,107,1126,560,21883,70,46,1,89,627,644,34,551,1217,160,923,13130,56,331,691,4,38,12,79,8,89,107,29932,99,121,1198,53,181,9010,6699,102,140,453,658,9841,1362,234,42,31368,530,9,12262,715,337,11233,11,601,81,22939,83,99,2,263,13709,14524,8,22566,27,241,130,0,1,15345,25
112-7316-892_1,Ependymoma,35607,23,0,162,96,200,144,0,6976,6867,11064,184,8,91,16,2235,66140,13,6,1550,261,35,5328,24,43946,1,125,259,2821,48,24,1587,27,2625,319,26671,140,74,2,191,22831,527,1300,924,3926,109,1526,13221,47,351,32,33,57,29,1605,2,203,194,38477,483,305,1122,134,631,9367,9906,1654,5299,2455,1572,3910,6417,498,59,30089,2414,28,11463,589,256,7648,4,29,296,76210,355,1120,18,451,15562,41478,7,26362,88,12,60,5,101,13689,44
104-7316-452_1,Ganglioglioma,22435,30,254,892,149,5357,189,3,123894,2704,3533,3891,13,140,23,538,21438,20,5,94973,554,466,5701,3,50448,0,13,13,24316,102,4,3521,17,1355,269,12873,129,107,2,88,1389,1319,162,23870,1854,41,603,4805,58,221,37,146,111,793,135,4,166,231,12907,330,636,27658,47,2018,2866,17638,220,450,226,10356,5404,8540,1466,11,59750,1421,22,5864,359,472,11720,1293,29,335,49740,227,527,69,257,6352,30533,18,3326,1555,24,84,18,230,4769,37
104-7316-120_1,Ganglioglioma,16137,19,9,934,291,2840,264,1,47799,3366,5062,2395,18,90,12,385,14972,61,22,43261,381,226,2930,4,47561,0,7,8,12953,70,6,2815,37,1021,266,12320,82,84,5,80,210,462,16,8749,1468,54,596,6371,51,189,567,71,59,327,32,3,124,198,16799,317,481,9979,48,978,4008,14533,158,199,308,10011,6321,4537,755,8,54318,618,79,6771,365,339,11650,339,1056,261,35655,147,346,120,200,6770,20598,44,1423,1017,347,105,48,161,6812,19
104-7316-914_1,Ganglioglioma,39720,14,2,173,39,99,45,1,14284,6302,7914,92,15,132,4,343,21874,18,0,4488,281,85,4284,3,39355,0,8,30,45255,47,17,2677,29,2076,393,19994,49,207,5,136,705,885,3,587,4501,111,862,10143,123,435,117,184,84,23,62,10,71,344,23633,204,470,332,72,474,4649,39329,310,461,329,1589,7248,3452,470,16,71374,282,125,9898,496,410,14335,39,148,98,67131,441,398,97,288,9657,44246,19,2671,58,46,96,15,107,8769,30
104-7316-91_1,Ganglioglioma,20953,47,10,435,82,5255,228,3,73951,3079,4159,3274,17,111,22,1088,23309,12,5,94940,917,455,3068,6,67512,6,15,8,30098,88,11,3705,29,1582,260,15879,243,136,12,88,1739,399,100,16396,1752,45,601,5338,70,276,38,99,113,687,162,5,308,332,14176,343,840,40060,60,1530,3641,5360,500,413,301,5295,3503,9185,1966,22,82058,1762,111,4856,321,551,14799,783,34,236,44031,186,504,89,241,6191,27291,44,1090,1027,7,55,29,237,4983,38
104-7316-230_1,Ganglioglioma,63873,179,24,1520,788,5231,725,0,89419,16182,20165,5271,67,393,46,1383,47588,52,29,35475,1820,221,16801,20,228474,1,137,226,46399,175,17,21045,94,5464,1696,52260,791,390,14,577,1717,1344,26,14116,5273,331,2383,26446,236,811,1834,69,290,504,229,16,975,1117,76533,1364,1339,35663,193,1880,18508,89919,1704,1859,2067,13853,32259,11736,1687,24,267771,1870,1358,28549,1226,1081,52465,324,3137,633,130007,535,911,557,736,23451,69554,190,9060,2693,772,515,82,372,28104,106
104-7316-359_1,Ganglioglioma,11159,5,16,1643,109,4403,154,0,189205,2209,3097,3675,17,76,12,525,4863,14,1,146291,564,792,13220,5,34331,1,0,1,27724,79,0,2867,10,609,977,5700,27,31,3,23,80,2533,37,30430,685,41,414,3840,53,119,59,192,21,933,10,9,42,184,9597,193,441,36642,40,2811,2146,842,232,17,279,21994,6927,5700,817,3,37734,1178,38,3621,162,382,8805,1617,44,231,23658,53,171,63,116,3633,17141,11,846,1125,15,166,37,169,2034,24
104-7316-156_1,Ganglioglioma,26686,42,59,120,94,59,152,20,4969,2878,3707,121,26,89,24,1421,24746,148,37,154,157,16,5554,14,59570,22,24,39,36702,71,25,3581,93,1100,209,14776,236,217,24,140,633,486,22,589,2604,125,423,4879,394,1317,193,25,187,26,72,23,214,251,10718,321,374,3824,64,346,2746,29827,363,475,110,795,3973,4455,254,14,48079,930,262,5179,227,242,7909,26,321,213,54951,304,559,31,171,5661,22393,48,225,56,83,85,19,220,5302,35
104-7316-893_1,Ganglioglioma,13714,77,10,445,514,1659,352,0,26438,3755,6851,1422,9,117,11,452,13448,27,4,11606,132,46,5789,1,69937,0,7,44,11836,49,0,2019,31,791,498,13336,299,139,10,106,780,733,16,4164,1194,45,773,7548,49,263,117,42,106,153,140,7,433,368,21453,335,690,25444,49,561,5653,25238,238,351,192,3983,7869,4411,573,9,70331,508,80,8535,385,386,8990,141,124,223,35228,107,295,160,232,8494,20661,27,2001,650,57,99,55,170,8517,27
104-7316-1793_1,Ganglioglioma,9333,27,6,1404,78,4134,217,0,20996,2645,5668,4331,6,154,14,903,9000,52,4,32924,105,205,3013,1,56519,1,4,18,71622,95,4,1312,46,1204,178,11957,121,206,3,58,1915,297,11,4534,724,24,1018,6016,31,314,22,43,133,166,193,12,118,270,18946,214,589,10373,71,642,4382,28854,290,512,51,10181,5008,3540,873,4,163342,670,25,6526,433,315,6830,407,12,130,25435,62,50,134,199,6342,20785,16,20525,1980,7,76,31,66,5810,21
104-7316-2901_1,Ganglioglioma,19389,24,24,157,241,467,344,9,8883,2935,5352,583,5,168,17,663,33642,455,8,4160,123,20,2760,5,41218,2,13,45,34700,45,11,1118,160,801,63,12598,100,121,3,118,175,256,8,540,1847,93,896,5848,69,681,28,70,70,14,14,5,123,286,21749,326,167,5820,79,550,4368,35575,76,111,52,1600,5177,3925,329,7,36389,604,14,10227,484,311,5899,41,29,169,46269,232,394,9,321,8837,23223,66,415,259,14,98,7,155,8313,36
112-7316-3572_1,Ganglioglioma,19021,3,1,517,483,1208,416,1,50479,5097,10438,814,9,587,20,1034,22777,76,31,33699,26,155,3832,0,104857,1,2,6,22577,67,13,1408,40,63,85,26401,55,149,5,167,1290,455,4,8013,1683,17,1790,14864,14,1142,123,12,119,194,287,16,213,1095,19934,258,1061,20890,100,1396,1183,31043,153,211,17,6387,2106,9578,928,6,71252,802,33,8983,646,419,975,647,19,204,38364,214,1216,31,334,14354,17777,8,1887,695,89,63,71,241,10755,40
112-7316-905_1,Ganglioglioma,18494,5,6,1269,498,4539,540,3,123217,2690,6802,3453,13,595,20,701,26779,33,0,297676,53,929,2038,4,82272,2,3,3,39485,73,6,1332,15,55,87,13126,69,122,1,174,151,374,37,35480,1814,5,1260,7791,10,851,79,78,102,1371,27,10,205,993,14942,209,635,39023,109,2925,874,20193,53,16,56,17587,4325,11579,2190,3,75137,1764,10,10041,666,581,1030,2440,34,206,47747,206,748,14,441,13746,21079,6,2483,2077,27,95,64,307,9208,32
112-7316-1854_1,Ganglioglioma,23129,9,7,1838,128,4236,253,4,94782,2459,9306,2879,4,462,27,1314,32603,133,51,187916,57,595,2757,8,97573,1,3,27,32867,91,11,1642,69,64,73,25126,70,123,1,181,1046,403,25,17597,1904,8,1879,13427,10,1059,30,68,100,580,197,9,174,1130,17097,218,1079,27503,120,2933,1065,30750,121,168,64,17600,2465,12799,2825,5,75790,1343,11,9356,745,577,1266,1330,10,216,50305,247,998,5,507,15968,17564,4,6095,1189,14,59,27,225,10345,33
112-7316-3060_1,Ganglioglioma,38940,6,3,376,237,128,296,4,15287,3579,12811,118,6,857,19,1978,51953,827,49,1378,76,41,480,0,131784,9,9,68,84150,97,14,2680,299,58,13,27701,98,182,9,293,732,91,7,2260,3096,26,1589,15513,21,2604,84,14,203,63,106,15,214,1389,17927,254,804,7888,110,895,959,106708,98,123,66,3717,1793,11928,721,2,77513,1969,13,16514,1163,388,1001,20,14,195,73035,414,778,40,604,26188,28696,30,5130,149,30,43,60,306,20478,58
112-7316-321_1,Ganglioglioma,12702,0,4,1515,108,4427,183,0,187539,1828,7382,3035,4,323,19,994,10594,49,3,314451,36,1137,1534,4,63738,0,3,5,35318,121,4,801,17,49,105,16883,63,32,3,53,478,217,49,35559,1300,6,1330,10097,10,677,28,100,44,1183,102,6,146,928,16658,132,1024,48076,102,4358,1202,3612,59,70,35,20831,1919,12826,1912,11,54566,1449,4,6637,389,728,969,3631,7,172,39374,124,894,6,348,9914,17833,5,1834,1155,16,48,13,262,6012,26
112-7316-101_1,Ganglioglioma,19231,3,4,844,675,3929,758,0,84221,3177,8736,3373,6,512,12,693,37686,75,5,137036,18,574,5823,3,105355,0,1,39,57651,76,11,1016,27,74,75,19622,47,225,3,201,349,746,180,24084,1864,2,1623,10387,15,884,50,71,221,837,39,6,205,1215,22376,170,1014,39253,105,2155,1241,27873,37,53,15,9937,2393,10711,1754,7,73512,1684,8,9768,747,565,736,1620,9,190,41607,223,644,11,372,13071,20496,12,1159,1418,26,35,42,355,9217,43
112-7316-2760_1,Ganglioglioma,14420,10,21,1407,200,5844,339,3,203755,2145,9957,4699,1,639,14,1468,12740,54,15,448867,33,1486,4825,11,101636,2,13,7,56445,144,15,867,26,47,123,23480,39,66,6,56,442,513,49,57252,1158,13,1809,14320,12,646,66,136,37,1930,97,12,212,1329,17609,176,1336,73009,121,5679,963,4968,44,66,11,22772,2367,17181,3793,7,63142,2446,7,7915,576,723,804,3644,17,195,39289,143,1059,14,336,13430,16783,9,1512,1942,20,69,42,383,7674,27
112-7316-373_1,Ganglioglioma,18801,2,0,515,349,7835,252,1,32999,5977,16898,5646,2,329,18,2205,60476,44,23,125237,66,376,1253,77,59324,0,10,80,5926,64,16,1067,24,54,32,45335,12,51,4,199,2261,183,29,7589,1641,20,1539,27790,4,1147,9411,50,52,237,451,1,40,1112,26272,202,279,12321,118,2579,1630,25308,227,359,400,12361,1110,10299,1276,27,30290,1587,4,19137,1408,458,1069,272,1693,726,44297,244,893,6,924,30214,16921,4,64,2722,4393,33,5,258,25324,52
112-7316-319_1,Ganglioglioma,6629,38,15,291,85,926,181,2,37973,1076,7797,749,12,471,44,447,9992,46,28,74610,111,243,10392,67,22980,14,4,16,8326,55,20,464,58,74,535,18836,18,28,15,69,617,1792,43,8552,587,8,1119,10954,29,311,475,25,37,329,146,36,53,810,10289,90,513,9862,110,1126,624,2164,82,82,20,3989,18809,4306,632,19,23360,470,16,6216,419,340,508,724,146,83,13706,77,482,21,310,11779,6390,10,560,451,168,251,24,78,6780,38
104-7316-212_1,HGAT,16703,58,1,370,562,421,400,8,11615,4412,8475,457,15,108,12,13956,7395,52,9,4630,339,88,3862,10,46846,5,7,8,4393,53,21,1904,38,1997,177,13807,319,161,6,95,533,421,74,1692,1372,130,1136,9863,99,620,246,14,134,49,102,9,392,297,24430,519,249,8124,146,458,5379,26607,174,244,32,3904,7777,3856,298,28,59221,573,9,17484,954,521,9972,47,395,878,33312,79,235,43,613,18299,39305,49,298,155,179,143,11,150,9154,51
104-7316-870_1,HGAT,21119,19,5,237,128,517,125,0,11610,3989,8001,534,2,107,5,478,29532,14,0,7050,66,42,2143,0,20370,0,0,4,20243,29,16,945,25,1035,254,17559,117,108,6,72,53,180,9,1065,2272,88,917,8239,102,624,172,26,99,47,3,5,173,153,20677,233,181,1315,78,344,4774,16825,83,61,22,2911,5273,3692,247,4,40545,197,26,10919,519,279,7583,11,197,123,41295,270,245,40,269,11165,20803,18,1902,215,60,109,12,193,10304,37
104-7316-388_1,HGAT,11502,23,15,226,654,2110,573,4,7769,3424,5006,2167,10,75,7,1051,39709,277,113,2439,204,29,2809,6,28209,3,8,4,10863,28,29,1287,123,1067,96,18145,82,149,2,64,233,239,23,589,844,186,993,5922,61,343,639,23,134,13,28,12,146,172,24950,468,260,27391,81,135,6134,5453,70,76,516,1858,7170,1904,94,8,17527,268,7,11408,529,303,6674,4,1080,553,27787,106,186,52,325,8115,25820,48,37,749,356,119,20,188,6394,35
104-7316-2176_1,HGAT,29990,21,0,179,56,810,103,6,20701,5311,4868,867,9,127,3,995,17290,595,286,1498,86,86,4940,0,42510,0,0,6,16687,40,9,1421,289,1675,204,14156,67,102,7,127,166,719,1,3885,2874,48,768,7017,69,526,103,21,64,132,18,4,73,181,22724,174,533,6182,52,394,4248,24627,88,98,60,1879,3408,4599,508,10,120805,522,45,11071,487,501,8377,4,120,149,53186,291,515,127,398,12143,37484,70,1578,446,39,77,40,136,11000,42
104-7316-1789_1,HGAT,23545,40,19,272,460,1886,644,0,43884,3534,8817,1767,5,298,13,3922,76812,23,6,50721,114,226,1989,16,68716,0,112,198,13461,55,5,1720,16,1695,174,23410,267,815,7,212,1672,245,11,11183,1627,210,1210,9345,91,642,683,79,514,298,215,7,281,377,25429,797,335,13716,64,1051,8442,6722,218,395,985,4110,3614,5001,818,8,54132,803,18,10242,427,387,7320,496,854,573,59152,147,284,22,280,11860,58098,9,392,507,217,49,15,201,10170,22
104-7316-37_1,HGAT,7280,7,12,134,44,248,125,141,7701,8090,20256,231,7,81,2,2074,8293,15113,9057,52321,248,384,2751,2,20706,118,4,4,5672,25,6,1710,6437,866,186,30416,23,47,7,74,166,291,16,2444,450,99,1939,20348,104,631,288,19,22,107,17,4,18,192,59782,1602,45,1782,340,253,13481,3997,65,35,836,1158,5455,1652,339,14,10987,352,21,27513,1111,829,13756,959,463,753,24338,52,88,45,881,28473,13972,22,331,95,129,76,15,94,26348,88
