Sample_ID,class,miR-135a-5p,miR-106b-5p,miR-93-3p,miR-205-5p,miR-93-5p,miR-200c-3p,miR-200a-3p,miR-19a-3p,miR-25-3p,miR-301b,miR-141-3p,miR-139-5p,miR-34c-5p,miR-34b-5p,miR-346,miR-217,miR-335-3p,miR-128-3p,miR-106b-3p,miR-210-3p,miR-873-5p,miR-216b-5p,miR-216a-5p,miR-4423-3p,miR-4423-5p
104-7316-1786_1,Ependymoma,1853,10069,166,6,9168,36,148,4170,10791,22,50,286,2864,656,50,522,0,959,409,1059,2,68,932,244,75
112-7316-490_1,Ependymoma,6707,20622,615,6,20680,45,69,20520,24138,420,66,1862,1100,349,163,33,11,6243,895,7481,14,4,26,703,414
112-7316-2758_1,Ependymoma,3847,12207,426,5,13458,95,416,5765,11955,714,122,1041,41750,9802,266,41,6,4211,579,3889,32,24,60,988,907
112-7316-496_1,Ependymoma,8260,30060,801,20,33119,87,678,22799,43470,460,131,691,41222,8486,717,90,35,6923,1483,32202,512,22,35,1050,492
112-7316-88_1,Ependymoma,453,12262,263,6,13709,38,89,9010,15345,81,46,551,627,140,121,107,4,1301,715,952,11,17,241,181,99
112-7316-892_1,Ependymoma,2455,11463,451,16,15562,57,203,9367,13689,296,74,924,22831,5299,305,27,8,6976,589,2235,4,6,13,259,125
104-7316-452_1,Ganglioglioma,226,5864,257,23,6352,111,166,2866,4769,335,107,23870,1389,450,636,17,13,123894,359,538,1293,5,20,13,13
104-7316-120_1,Ganglioglioma,308,6771,200,12,6770,59,124,4008,6812,261,84,8749,210,199,481,37,18,47799,365,385,339,22,61,8,7
104-7316-914_1,Ganglioglioma,329,9898,288,4,9657,84,71,4649,8769,98,207,587,705,461,470,29,15,14284,496,343,39,0,18,30,8
104-7316-91_1,Ganglioglioma,301,4856,241,22,6191,113,308,3641,4983,236,136,16396,1739,413,840,29,17,73951,321,1088,783,5,12,8,15
104-7316-230_1,Ganglioglioma,2067,28549,736,46,23451,290,975,18508,28104,633,390,14116,1717,1859,1339,94,67,89419,1226,1383,324,29,52,226,137
104-7316-359_1,Ganglioglioma,279,3621,116,12,3633,21,42,2146,2034,231,31,30430,80,17,441,10,17,189205,162,525,1617,1,14,1,0
104-7316-156_1,Ganglioglioma,110,5179,171,24,5661,187,214,2746,5302,213,217,589,633,475,374,93,26,4969,227,1421,26,37,148,39,24
104-7316-893_1,Ganglioglioma,192,8535,232,11,8494,106,433,5653,8517,223,139,4164,780,351,690,31,9,26438,385,452,141,4,27,44,7
104-7316-1793_1,Ganglioglioma,51,6526,199,14,6342,133,118,4382,5810,130,206,4534,1915,512,589,46,6,20996,433,903,407,4,52,18,4
104-7316-2901_1,Ganglioglioma,52,10227,321,17,8837,70,123,4368,8313,169,121,540,175,111,167,160,5,8883,484,663,41,8,455,45,13
112-7316-3572_1,Ganglioglioma,17,8983,334,20,14354,119,213,1183,10755,204,149,8013,1290,211,1061,40,9,50479,646,1034,647,31,76,6,2
112-7316-905_1,Ganglioglioma,56,10041,441,20,13746,102,205,874,9208,206,122,35480,151,16,635,15,13,123217,666,701,2440,0,33,3,3
112-7316-1854_1,Ganglioglioma,64,9356,507,27,15968,100,174,1065,10345,216,123,17597,1046,168,1079,69,4,94782,745,1314,1330,51,133,27,3
112-7316-3060_1,Ganglioglioma,66,16514,604,19,26188,203,214,959,20478,195,182,2260,732,123,804,299,6,15287,1163,1978,20,49,827,68,9
112-7316-321_1,Ganglioglioma,35,6637,348,19,9914,44,146,1202,6012,172,32,35559,478,70,1024,17,4,187539,389,994,3631,3,49,5,3
112-7316-101_1,Ganglioglioma,15,9768,372,12,13071,221,205,1241,9217,190,225,24084,349,53,1014,27,6,84221,747,693,1620,5,75,39,1
112-7316-2760_1,Ganglioglioma,11,7915,336,14,13430,37,212,963,7674,195,66,57252,442,66,1336,26,1,203755,576,1468,3644,15,54,7,13
112-7316-373_1,Ganglioglioma,400,19137,924,18,30214,52,40,1630,25324,726,51,7589,2261,359,279,24,2,32999,1408,2205,272,23,44,80,10
112-7316-319_1,Ganglioglioma,20,6216,310,44,11779,37,53,624,6780,83,28,8552,617,82,513,58,12,37973,419,447,724,28,46,16,4
104-7316-212_1,HGAT,32,17484,613,12,18299,134,392,5379,9154,878,161,1692,533,244,249,38,15,11615,954,13956,47,9,52,8,7
104-7316-870_1,HGAT,22,10919,269,5,11165,99,173,4774,10304,123,108,1065,53,61,181,25,2,11610,519,478,11,0,14,4,0
104-7316-388_1,HGAT,516,11408,325,7,8115,134,146,6134,6394,553,149,589,233,76,260,123,10,7769,529,1051,4,113,277,4,8
104-7316-2176_1,HGAT,60,11071,398,3,12143,64,73,4248,11000,149,102,3885,166,98,533,289,9,20701,487,995,4,286,595,6,0
104-7316-1789_1,HGAT,985,10242,280,13,11860,514,281,8442,10170,573,815,11183,1672,395,335,16,5,43884,427,3922,496,6,23,198,112
104-7316-37_1,HGAT,836,27513,881,2,28473,22,18,13481,26348,753,47,2444,166,35,45,6437,7,7701,1111,2074,959,9057,15113,4,4
104-7316-195_1,HGAT,62,24602,618,47,19484,74,86,7700,23272,1139,80,903,105,58,218,38,6,10040,1361,270,20,0,80,0,2
104-7316-2146_1,HGAT,16532,8263,236,463,4770,110,10859,4106,12386,270,182,1222,20589,4700,289,57,7,3847,350,902,3,35,51,470,136
104-7316-1774_1,HGAT,88,11939,299,20,6892,162,342,6294,13452,736,256,3517,112,96,454,862,22,19112,746,15906,66,23,2486,23,7
104-7316-2152_1,HGAT,611,13933,483,12,13858,231,109,9850,17054,439,340,1050,90,45,199,59,6,8090,532,773,37,25,80,1,1
104-7316-2594_1,HGAT,64,21781,659,8,24471,127,143,14432,18352,722,131,843,80,49,258,60,4,17980,815,1105,14,6,146,3,1
104-7316-89_1,HGAT,74,14287,394,11,14633,89,243,7353,14035,267,99,3913,361,117,600,23,5,27210,669,355,23,5,27,33,12
104-7316-2151_1,HGAT,786,10427,440,5,9820,73,223,4043,10660,280,97,753,7952,1472,594,14,3,15934,472,866,47,5,9,262,103
108-7316-3765_1,HGAT,325,5212,194,6,5846,24,53,2817,7532,100,37,3573,171,48,95,2412,6,15026,207,160,133,2849,4409,0,0
108-7316-3022_1,HGAT,439,5393,216,2,5016,36,73,2575,7032,497,58,86,168,59,63,162,11,8603,240,4442,1,226,393,0,0
108-7316-913_1,HGAT,40,12919,372,1,16273,49,115,4372,9093,701,71,620,39,22,113,56,4,3303,549,552,34,12,95,1,2
108-7316-870_1,HGAT,20,4896,133,4,4022,56,50,1717,3930,106,81,2792,47,28,117,19,3,17467,239,343,208,2,78,0,0
