,Sample_ID,class,miR-335-3p,miR-205-5p,miR-183-5p,miR-132-3p,miR-182-5p,miR-339-3p,miR-216a-3p,miR-429,miR-17-3p,miR-20a-5p,miR-15b-3p,miR-873-5p,miR-210-3p,miR-4705,miR-135a-5p,miR-138-5p,miR-92a-3p,miR-346,miR-34a-5p,miR-139-3p,miR-34b-3p,miR-139-5p,miR-34b-5p,miR-141-3p,miR-96-5p,miR-34c-3p,miR-25-3p,miR-34c-5p,miR-216a-5p,miR-30a-3p,miR-93-5p,miR-19b-3p,miR-216b-5p,miR-200b-5p,miR-200a-3p,miR-130b-3p,miR-4423-3p,miR-216b-3p,miR-1915-3p,miR-4423-5p,miR-106b-3p,miR-217,miR-128-3p,miR-200c-3p,miR-301b,miR-195-5p,miR-93-3p,miR-375,miR-106b-5p,miR-200b-3p
30,104-7316-124_1,Craniopharyngioma,14,521055,2746,262,7658,54,0,4804,1792,5981,76,12,2568,1,32,436,24131,1,8421,13,202,329,108,54149,16682,30,9244,168,1,221,5175,36044,2,857,28811,2505,3,0,239,0,425,21,1148,28987,56,7662,248,114,9409,41712
31,104-7316-2157_1,Craniopharyngioma,10,216845,1552,810,3409,58,0,2678,790,4076,63,7,4072,59,285,3152,17935,253,15924,6,394,351,309,23719,6970,88,5993,610,19,1277,5209,17344,1,242,13490,1705,38,1,519,17,279,26,4528,15181,63,16106,213,145,6433,17051
32,104-7316-1751_1,Craniopharyngioma,13,119,453,1298,922,51,0,34,1045,7766,95,4,1171,77,863,7465,20007,226,7863,11,142,499,108,159,1666,48,14479,257,173,754,11889,26957,35,1,159,3271,14,0,654,7,676,76,5150,102,521,13472,279,37,12863,113
33,112-7316-164_1,Craniopharyngioma,1,451,92,411,211,32,0,15,798,11938,114,1,446,2,2,56,18517,9,7380,12,25,328,34,149,161,21,13035,118,12,330,10126,26456,2,1,87,458,2,0,935,1,475,5,696,55,49,14693,142,125,9419,78
34,112-7316-1773_1,Craniopharyngioma,7,253,30,833,52,60,5,27,870,4221,77,22,1455,12,7,1010,10008,21,27719,25,177,645,117,179,113,37,6546,194,168,672,5567,18910,76,2,106,769,25,4,8473,22,291,118,1329,96,155,13547,179,17,5248,118
35,112-7316-226_1,Craniopharyngioma,4,205999,2089,1068,4224,42,0,2848,1083,7355,78,80,3730,43,201,2290,16528,99,16239,32,305,888,604,29707,8549,309,9730,2468,31,1770,9087,23960,14,318,14540,699,14,2,726,12,506,27,3459,17755,77,19624,270,866,9594,15593
36,104-7316-3069_1,Ependymoma,11,5,48,1121,95,170,0,26,704,6195,171,6,2449,29,6374,2862,28072,149,5692,28,3759,445,12817,87,66,4086,14173,49919,93,2412,11738,22240,49,4,159,1058,2323,5,504,2273,463,78,5462,40,298,27274,380,3196,10448,174
37,104-7316-3299_1,Ependymoma,19,8,2,1054,5,75,0,6,660,803,23,0,4462,1,1388,33,15149,76,5013,16,526,265,1088,16,6,700,4062,4474,6,1713,1262,8527,2,1,39,2018,17,0,211,8,246,6,1163,12,120,20430,115,16,4905,26
38,104-7316-111_1,Ependymoma,19,8,26,3070,85,224,2,55,1464,7144,215,8,2710,10,12145,222,49912,559,34620,12,2992,480,7537,112,55,4021,18437,32800,18,1903,18928,20880,0,6,150,2271,435,3,268,228,949,26,5454,53,334,41123,624,678,17789,193
39,104-7316-872_1,Ependymoma,5,16,40,1396,89,156,0,15,1018,4226,96,2,1010,6,7536,348,30348,200,10328,12,782,447,1642,99,148,879,9077,6658,17,1400,5822,21380,2,3,146,1929,342,0,374,206,451,31,3346,55,452,17658,215,272,8262,108
40,104-7316-2757_1,Ependymoma,28,50,28,1096,57,93,24,63,692,4554,62,49,2345,60,2202,3200,18049,158,13002,40,20499,265,78528,70,32,18689,7446,290061,146,2214,7215,18030,55,15,369,516,600,19,91,612,248,66,2887,58,138,27472,150,16210,5304,439
41,104-7316-3_1,Ependymoma,13,1039,7,1154,23,62,4,106,396,2628,17,134,2192,20,2662,1559,14587,80,17552,22,16250,647,58653,96,20,17986,10784,249385,6,2715,8144,10583,11,23,835,290,833,6,152,469,307,22,3791,44,80,29973,211,8980,6447,1116
42,104-7316-189_1,Ependymoma,11,100,11,1833,35,173,0,5,2658,12877,146,4,4541,5,6267,134,42192,309,14868,9,557,179,1279,26,43,786,22115,5899,8,1890,18716,49281,6,0,82,5747,88,0,344,76,1385,19,6737,26,2892,12796,638,16,20651,47
43,104-7316-130_1,Ependymoma,11,5,400,5425,645,125,0,53,1226,9204,163,39,7325,25,38,10724,15273,179,23405,51,181,2056,252,289,1196,112,7662,589,51,1491,19756,28548,8,2,224,2298,3,0,716,2,789,24,16704,165,759,13875,714,112,17538,260
44,104-7316-160_1,Ependymoma,10,8,9,1264,16,167,2,61,1383,10624,121,0,4104,17,4445,136,33745,211,14536,10,4053,488,14534,69,22,4020,16800,52046,17,3184,15610,35323,4,6,349,1175,294,1,305,172,549,41,4288,46,243,63459,498,2531,14080,353
45,104-7316-394_1,Ependymoma,10,6,11,2119,44,167,7,37,1208,9327,90,1,23516,33,4131,237,29495,256,12745,13,1480,298,4773,46,38,1711,10839,20319,310,2501,11821,26587,161,1,294,931,448,0,120,245,448,149,3854,22,280,60666,346,1937,9706,270
46,104-7316-198_1,Ependymoma,6,6,10,1349,42,78,0,9,999,9627,36,17,1233,15,3717,33,26635,97,9586,69,958,1417,3009,41,25,1279,17181,12542,11,2158,12116,27323,2,0,97,583,1292,0,211,670,398,15,3080,39,114,34214,423,3051,11816,106
47,104-7316-47_1,Ependymoma,11,2,22,1955,65,125,0,15,1477,13316,102,18,5431,1,2813,170,32112,54,4356,35,109,1200,39,15,57,13,15120,99,10,1056,22842,32613,0,3,100,1355,36,0,352,14,954,12,6756,5,628,11128,779,190,19243,93
48,104-7316-384_1,Ependymoma,7,1,38,5569,173,127,0,35,1161,8288,72,1,28504,22,2251,1914,26986,302,10379,19,3634,342,13779,85,138,4435,10502,59642,16,1826,10135,26755,4,6,325,1406,392,0,1439,273,470,19,2861,36,314,22584,305,2403,9861,295
49,104-7316-3319_1,Ependymoma,8,2,88,1691,222,115,0,18,1120,7588,116,275,10124,16,2506,1487,24164,159,5890,12,2432,325,8229,29,241,3771,11230,40795,4,1035,9819,25921,3,5,168,705,533,0,419,275,348,22,2446,8,160,27653,244,2415,9644,188
50,104-7316-2959_1,Ependymoma,7,1,9,6011,11,116,12,20,543,3703,127,5,6999,0,4251,752,16359,919,11599,18,650,244,1478,84,27,801,11934,6664,1449,2370,13958,10838,797,5,110,1492,88,7,447,53,713,625,2901,63,472,25385,435,68,10765,87
51,104-7316-2666_1,Ependymoma,7,49,222,1839,364,250,0,210,3023,13882,319,0,6994,3,3683,66,42208,838,10591,6,204,280,302,36,499,184,24870,1372,119,2136,22567,53905,43,14,842,5907,144,1,208,86,1339,73,3539,28,6456,26706,1142,2,30681,735
52,104-7316-3300_1,Ependymoma,66,7,29,1276,53,66,0,30,997,7909,142,6,10605,3,3260,3163,17986,160,17159,12,664,474,1571,81,75,951,11078,7400,200,5519,13815,24014,49,4,154,3938,260,4,2384,190,756,67,2563,48,1096,2626,482,148,12933,160
53,104-7316-1886_1,Ependymoma,6,2,12,1930,34,82,1,30,740,5667,126,2,3961,23,4399,134,18999,49,5396,6,1795,304,4568,30,21,2071,12036,21555,50,1789,10318,20151,1,3,150,1098,275,0,323,144,424,41,3292,25,352,19825,325,1572,9601,146
54,104-7316-2170_1,Ependymoma,10,1,14,771,38,132,0,9,593,5561,34,0,6288,15,1227,324,17541,52,9078,9,131,260,111,37,15,42,12760,353,18,2612,9588,13995,3,1,122,228,336,1,531,113,613,24,1460,15,8,39654,259,158,11288,88
55,104-7316-3292_1,Ependymoma,10,1,13,648,31,56,3,18,358,3947,28,5,5608,3,1102,1136,9951,174,6422,2,216,133,560,28,39,285,5614,2939,46,2491,7449,8858,20,0,117,4691,140,0,793,126,334,25,1902,19,515,1864,233,109,5212,101
56,104-7316-2182_1,Ependymoma,5,3,97,881,277,99,0,46,780,8750,87,1,2286,16,1554,496,20032,99,5138,8,3834,337,15398,43,211,4464,10830,64347,32,2021,10591,23442,19,7,235,519,214,0,114,158,462,29,2157,49,110,29060,234,3087,9164,266
57,104-7316-451_1,Ependymoma,35,12,61,2939,120,496,1,53,4431,14816,230,7,3819,0,2900,93,35685,95,2357,20,117,484,125,17,140,62,42172,467,9,1469,37352,54815,2,9,282,6452,108,1,264,86,1532,11,4854,8,4341,40386,1467,7,51858,256
58,104-7316-443_1,Ependymoma,7,13,4,3490,23,87,0,44,1475,7480,78,16,9330,13,1567,1321,25895,17,7703,21,96,534,125,33,25,51,11026,413,218,1669,7278,30708,6,14,459,1751,240,0,679,149,490,110,3593,24,237,36541,333,35,9680,434
59,104-7316-889_1,Ependymoma,7,4,15,2108,55,142,4,37,2063,13791,110,87,6857,17,4492,612,33513,184,4880,34,1044,1121,3324,74,61,1290,17960,15077,97,3252,17699,43108,13,5,316,1394,331,4,294,177,724,63,6435,54,285,49267,566,1267,16610,246
60,104-7316-873_1,Ependymoma,24,16,12,2254,35,180,0,34,1899,14448,254,4,3621,34,7410,1385,48287,327,12228,21,2769,868,7954,110,38,2562,20171,31154,19,5112,21774,50353,8,1,211,1968,498,0,370,264,774,40,10728,102,734,57505,700,2081,17712,234
