,Sample_ID,class,miR-335-3p,miR-205-5p,miR-183-5p,miR-132-3p,miR-182-5p,miR-339-3p,miR-216a-3p,miR-429,miR-17-3p,miR-20a-5p,miR-15b-3p,miR-873-5p,miR-210-3p,miR-4705,miR-135a-5p,miR-138-5p,miR-92a-3p,miR-346,miR-34a-5p,miR-139-3p,miR-34b-3p,miR-139-5p,miR-34b-5p,miR-141-3p,miR-96-5p,miR-34c-3p,miR-25-3p,miR-34c-5p,miR-216a-5p,miR-30a-3p,miR-93-5p,miR-19b-3p,miR-216b-5p,miR-200b-5p,miR-200a-3p,miR-130b-3p,miR-4423-3p,miR-216b-3p,miR-1915-3p,miR-4423-5p,miR-106b-3p,miR-217,miR-128-3p,miR-200c-3p,miR-301b,miR-195-5p,miR-93-3p,miR-375,miR-106b-5p,miR-200b-3p
185,108-7316-2583_1,LGAT,2,5,383,1810,921,21,2,6,263,3132,30,37,182,59,29,2942,5540,126,4240,42,29,1136,105,30,1548,37,4166,428,56,308,3418,8983,10,0,24,387,5,1,95,3,217,36,5641,20,44,6003,84,15,4118,37
186,108-7316-2581_1,LGAT,4,5,139,612,337,33,0,8,414,2290,42,23,207,24,1,597,5038,96,13684,18,17,548,66,44,687,12,2980,110,32,663,3156,7500,0,2,50,385,16,0,124,10,101,15,3154,31,50,16742,112,0,3186,41
187,108-7316-186_1,LGAT,3,8,10,472,24,42,0,10,188,1709,14,0,747,47,56,2773,5513,290,11754,20,41,423,55,26,23,14,2654,58,4,663,2746,5388,1,2,65,284,56,0,79,21,113,7,8416,13,39,13968,89,8,2590,53
188,108-7316-206_1,LGAT,22,21,40,797,54,49,27,33,280,1778,48,18,385,121,40,5635,4952,418,12737,36,73,287,91,35,57,47,2483,100,30,623,2646,7183,24,23,62,505,39,33,72,27,158,40,13651,39,96,15695,99,18,2910,59
189,108-7316-207_1,LGAT,4,1,145,735,345,41,2,9,341,2020,28,36,197,115,20,2258,6444,180,10175,11,59,313,69,31,458,10,2896,44,22,754,2604,8301,8,2,57,656,1,2,101,1,174,16,12354,22,99,13648,107,2,3171,40
190,108-7316-176_1,LGAT,15,3,9,1518,17,31,1,6,369,2600,38,7,753,18,56,5482,13820,58,19009,2,460,232,1390,29,20,471,3340,5347,2,869,2606,12870,2,6,62,420,513,1,327,383,149,5,4110,19,17,20452,89,187,3500,77
191,108-7316-119_1,LGAT,13,6,7,842,10,36,1,4,321,1922,39,5,201,142,49,8280,6423,338,10828,14,90,477,85,41,16,11,3341,58,9,623,3223,9706,0,1,35,1260,2,0,159,3,190,11,14212,39,203,15738,143,7,3968,28
192,108-7316-127_1,LGAT,4,9,13,1050,34,31,3,5,318,2047,24,3,1205,91,11,6739,5522,248,8477,35,45,560,74,9,30,10,2779,78,8,645,2668,8579,5,2,28,590,6,2,101,8,152,5,13144,17,87,14649,76,2,3192,28
193,108-7316-2147_1,LGAT,4,7,18,673,57,21,3,4,243,2171,37,5,712,80,16,2137,5447,136,8895,16,60,150,55,21,40,7,3085,31,17,596,2599,7479,2,2,24,561,10,4,58,5,153,13,6873,20,58,11048,84,3,2930,25
194,108-7316-329_1,LGAT,0,1,28,1266,57,34,0,5,275,2297,31,0,3833,38,54,6236,6129,156,5259,3,26,141,34,26,53,20,3239,100,41,411,2728,8100,3,0,14,544,1,2,186,2,153,8,3881,6,71,9362,69,1,3047,22
195,108-7316-397_1,LGAT,1,0,28,1107,91,26,1,11,384,3397,32,55,177,15,26,3587,6857,247,2698,89,49,2343,71,50,91,29,3067,204,28,436,3078,9811,10,4,74,276,9,1,147,6,130,19,10135,33,73,5965,88,8,2819,56
196,108-7316-882_1,LGAT,3,9,16,885,53,50,1,10,199,2097,29,44,443,48,127,1771,5473,203,9107,9,115,551,395,48,46,102,2799,1300,29,926,2613,6815,4,2,64,327,74,3,236,42,122,11,4496,48,36,13920,61,56,2838,56
197,112-7316-884_1,LGAT,15,12,25,1711,78,60,2,7,658,5596,222,403,364,40,156,1140,14714,62,30256,18,162,757,305,251,123,60,9091,463,414,2467,6404,15368,24,1,134,1087,46,1,489,9,348,129,4143,170,109,19330,172,66,7879,103
198,112-7316-460_1,LGAT,4,0,235,447,709,39,0,4,1073,18206,257,2,574,24,8,114,25298,47,4997,8,42,319,41,33,597,4,20200,38,2,473,16478,35610,1,0,27,701,1,0,178,1,704,2,3775,30,75,4210,196,0,18537,14
199,112-7316-370_1,LGAT,6,13,99,1156,245,50,3,19,767,6961,154,92,681,56,211,6472,12861,446,7065,22,174,1131,205,87,216,74,8201,524,19,1540,7345,17650,15,4,144,777,32,1,403,14,402,22,25227,48,132,20989,180,27,7838,97
200,112-7316-196_1,LGAT,7,9,320,5282,756,123,0,10,540,3061,52,28,540,201,393,4868,9908,444,10799,22,286,1138,287,104,1363,45,4578,766,17,1650,3928,11348,20,2,78,1101,70,1,108,20,271,19,67479,88,122,26238,162,44,5543,62
201,112-7316-400_1,LGAT,27,5,16,2892,19,75,2,12,995,4899,94,2,658,306,62,12109,13365,470,13691,35,165,911,125,44,24,17,6214,121,10,1587,6497,22362,0,0,41,2532,3,0,186,2,366,25,34532,34,364,26859,290,5,7559,47
202,112-7316-154_1,LGAT,12,4,71,3306,224,78,0,11,665,5565,142,0,5189,253,45,4153,10471,210,12451,25,175,486,106,71,204,7,9535,113,8,851,7101,18437,2,0,57,1788,0,0,366,3,437,16,14508,46,127,11639,161,2,9871,39
203,112-7316-393_1,LGAT,29,8,45,5102,61,107,0,29,835,6106,63,0,772,163,218,15512,12544,931,33976,4,171,327,262,148,101,23,9427,208,0,1971,10835,22146,1,6,228,2207,5,0,234,2,357,9,21853,82,335,22370,323,1,10272,132
204,112-7316-173_1,LGAT,36,22,32,2557,114,196,0,70,1024,8339,212,4,3730,6,130,8460,27989,599,53495,37,410,842,538,317,106,141,14371,1194,349,3689,13740,25681,12,7,587,2312,84,0,497,40,792,153,6101,318,286,25688,373,7,13831,488
205,112-7316-2667_1,LGAT,19,14,512,2139,975,107,0,22,982,6308,94,4,423,232,115,5340,15485,455,25914,30,102,1116,188,51,1646,7,8307,96,4,2009,10337,27755,1,3,164,2492,5,0,623,1,559,11,52946,24,478,57828,436,1,11690,125
206,112-7316-475_1,LGAT,36,31,47,1983,76,107,30,42,694,3798,103,35,688,370,59,18853,14661,508,19191,102,250,2360,187,100,78,37,5636,136,45,1803,6281,18125,43,31,150,2300,37,33,147,29,346,41,35565,50,370,28907,238,29,7090,128
207,112-7316-487_1,LGAT,21,4,27,3705,66,104,2,12,1266,7819,124,17,753,380,75,5425,22511,457,13506,11,280,261,138,42,43,14,9075,91,27,1329,7966,27819,2,0,46,3171,3,0,817,1,494,28,24508,38,279,12686,262,0,9050,35
208,112-7316-1760_1,LGAT,24,13,18,1042,47,110,4,30,625,3406,119,5,618,84,1020,59,18499,177,31661,18,495,511,561,231,32,21,6178,180,113,1609,4262,14851,13,10,200,2273,52,11,746,26,399,109,3043,168,93,14858,125,9,6718,164
209,112-7316-2174_1,LGAT,5,5,7,2957,11,141,0,15,654,3010,32,14,960,312,445,6446,10124,287,5464,28,179,882,88,117,44,12,5260,99,5,2165,4368,14375,7,2,114,1428,2,0,164,6,301,10,98108,87,179,39597,237,63,6834,83
210,112-7316-441_1,LGAT,14,7,27,1146,74,61,3,35,593,5368,122,1,720,275,50,12485,15219,759,23353,51,229,1457,408,74,69,71,7193,745,25,1891,6990,17503,3,5,135,1758,9,0,569,5,322,28,21542,46,230,36657,191,31,7459,95
211,112-7316-936_1,LGAT,14,74,38,1121,129,113,0,21,606,4387,193,12,547,22,1297,2021,10041,285,40070,17,392,886,400,150,124,10,7279,137,68,1753,6934,13307,16,5,253,733,39,0,1138,13,366,73,6235,78,65,31275,234,24,7377,290
212,112-7316-938_1,LGAT,26,18,30,2186,84,86,3,10,504,4102,91,4,1262,344,5,10877,10729,176,37110,37,281,1055,585,82,75,156,8053,1051,61,1796,6453,15177,28,0,60,1989,10,3,253,6,362,48,35735,53,116,28835,184,8,8107,38
213,112-7316-946_1,LGAT,20,3,20,2093,26,78,1,35,548,4019,84,1,572,219,214,13131,11100,732,22927,63,220,1285,252,72,43,48,6027,311,18,1654,6742,15036,9,2,129,1732,50,2,591,18,305,20,26972,42,196,27595,244,4,7110,124
214,112-7316-2193_1,LGAT,23,13,9,1472,66,59,1,6,507,3923,61,1,323,214,78,4082,11936,352,17669,28,238,488,232,29,33,25,6208,180,47,1587,4924,15032,13,3,56,1813,8,0,262,6,261,28,18676,36,155,21151,168,5,6211,53
215,112-7316-2900_1,LGAT,7,12,39,1816,97,60,0,13,764,6294,55,34,834,117,543,5088,18946,390,16229,27,164,997,212,152,100,31,8118,252,68,2307,6511,22532,22,0,159,1063,66,1,277,21,342,53,15984,109,169,32108,207,20,6656,132
216,112-7316-869_1,LGAT,23,13,46,1206,120,80,0,16,516,4330,44,6,458,208,80,6599,9478,541,24841,60,104,1928,170,52,163,35,6161,314,25,1905,5756,14921,7,0,98,955,22,0,296,16,340,27,30226,37,199,22621,170,7,6656,77
217,112-7316-9_1,LGAT,3,2,23,812,49,56,0,9,340,2041,35,4,553,138,1,3773,6375,133,9503,36,77,479,40,18,39,18,5364,89,4,449,4999,8458,0,1,45,737,5,0,826,5,290,8,8107,10,85,7982,114,1,5678,26
218,112-7316-167_1,LGAT,0,0,0,2,0,0,0,0,1,7,0,2,0,0,0,21,11,1,27,0,0,13,0,1,0,0,2,0,0,2,9,9,0,0,0,1,0,0,2,0,1,0,45,1,0,23,0,1,3,1
219,112-7316-2167_1,LGAT,6,11,4,2107,8,101,1,18,557,2655,39,6,291,103,41,9132,10462,729,35542,31,113,682,143,82,10,31,5558,201,4,3273,5456,13895,3,4,162,908,45,0,141,27,259,16,20429,54,205,27413,211,0,5742,90
220,112-7316-3068_1,LGAT,7,10,140,463,470,63,1,4,541,5957,79,22,493,61,4,3212,9937,268,12965,73,91,517,55,32,344,5,7772,146,4,1173,6777,13888,0,1,23,451,7,0,491,24,321,28,8742,7,60,10263,169,2,6515,10
221,112-7316-32_1,LGAT,6,3,41,1464,116,102,0,32,852,4920,58,29,563,212,149,34326,13462,632,17989,496,80,12324,145,114,106,51,6959,420,45,1288,8693,19914,13,1,158,1328,18,1,666,11,419,14,15970,72,264,19133,276,13,7377,106
222,112-7316-891_1,LGAT,6,8,15,5741,57,302,3,0,1200,6597,9,1,10631,35,0,15771,18565,763,51384,129,59,3109,28,47,9,29,8222,180,16,2329,10317,17445,0,3,56,2175,2,0,147,1,548,24,35618,46,240,33149,351,1,9126,16
223,112-7316-875_1,LGAT,10,10,50,10181,113,380,2,4,1151,10386,8,1420,1136,4,32,36531,20499,689,8434,747,100,24978,201,140,28,73,9120,1123,3,1434,12532,17793,2,1,137,1096,11,2,455,5,513,8,71307,131,144,18307,303,139,8326,34
224,112-7316-2729_1,LGAT,12,8,12,3092,36,481,0,1,1767,9805,2,2,3237,26,0,23964,24986,1342,58434,33,46,765,88,103,13,62,8726,495,41,2508,13178,22083,0,3,67,1936,10,1,99,2,618,33,33376,65,170,20143,395,0,10588,24
225,112-7316-350_1,LGAT,16,24,28,2986,72,414,0,1,1341,7313,7,6,665,7,2,1110,24337,365,69544,67,56,1926,71,74,12,62,8704,429,14,1165,8332,18723,4,0,34,1193,29,0,207,5,790,18,8070,74,85,16447,213,2,7724,20
226,112-7316-897_1,Medulloblastoma,6,3,14,419,18,86,129,0,847,3798,36,1376,764,37,1536,406,6940,21,1415,53,62,2562,57,36,35,8,12679,153,14765,234,9712,22643,8308,0,12,1773,0,100,61,1,591,6766,5422,25,408,12346,465,10,14971,5
227,112-7316-333_2,Medulloblastoma,11,1,6,1447,23,181,1039,6,9333,107300,622,188,3150,30,78,66,155611,29,1964,11,109,211,51,36,33,14,64722,125,124794,751,65987,211661,50707,3,50,5941,2,590,416,4,2096,33903,4941,11,890,43844,1769,40,58517,83
228,112-7316-3023_3,Medulloblastoma,32,2,69,919,161,218,613,6,6214,84842,552,21,1702,15,407,291,104049,135,664,12,113,132,23,41,187,16,117362,54,76244,186,84170,160997,41642,1,42,11222,8,515,611,3,3153,25606,7835,24,1614,42587,2059,627,79546,46
229,112-7316-378_1,Medulloblastoma,9,6,87070,4003,122964,379,478,59,4569,28978,679,114,3045,19,839,4519,52685,23,5906,296,369,7937,533,80,204196,159,137556,2042,44115,306,105650,101650,32099,3,163,8095,7,397,619,8,4709,18863,21789,60,7474,6839,3258,369923,120199,126
230,112-7316-179_1,Medulloblastoma,3,0,127,949,259,71,2,11,2459,20681,280,1172,4256,1,3,115,40300,9,4375,93,204,2452,69,48,295,13,15866,154,32,194,18267,60246,29,4,37,1986,21,0,3904,25,847,24,7404,30,121,13120,568,43,15483,92
231,112-7316-178_1,Medulloblastoma,22,5,16,1119,24,110,560,6,9391,94725,315,0,1841,1,4254,87,136797,22,3402,6,248,214,45,41,46,13,82789,135,52613,1356,79961,165846,27974,0,12,11698,0,384,623,1,3509,14821,5706,18,2838,44301,2068,56,66142,26
232,112-7316-347_1,Medulloblastoma,4,1,53,600,137,103,171,0,1978,17451,118,2386,818,83,1076,565,29209,22,1497,41,62,1505,30,49,215,21,31092,145,18096,409,29662,49674,10425,1,12,3485,0,132,302,0,1293,7710,4913,18,656,10508,843,29,26906,11
233,112-7316-302_1,Medulloblastoma,4,1,67879,2023,122057,503,485,0,1878,18255,128,688,2441,12,138,5109,29011,10,969,100,72,3542,16,125,220905,10,45790,70,56625,273,45889,50456,38820,1,8,1873,4,390,314,3,1233,32282,15639,61,476,2164,915,7940,41578,4
234,112-7316-358_1,Medulloblastoma,7,1,535,1565,891,73,149,4,4241,37537,300,1055,2976,17,418,6053,57385,27,13376,52,302,2329,928,42,1440,310,31281,3645,13377,640,43103,91046,8659,0,23,3928,10,113,208,5,1462,6352,22791,27,1860,8821,899,354,34139,14
235,112-7316-922_1,Medulloblastoma,8,4,54,994,146,47,405,1,5571,52132,307,18,2273,36,51,180,76363,12,5328,11,88,478,27,40,136,11,39891,73,38958,620,37001,100124,23768,0,24,5997,2,327,771,3,1675,13581,3401,26,666,21830,1062,3,29829,23
236,112-7316-153_1,Medulloblastoma,9,16,1913,612,3941,65,18,1,3648,38392,301,13,3188,0,77,182,55466,16,2380,12,221,456,25,23,5574,1,29629,58,1451,119,33865,77789,792,2,6,5961,0,20,1422,2,1227,692,7860,14,2091,7519,907,457,26806,3
237,112-7316-937_1,Medulloblastoma,8,0,372,470,703,62,235,1,968,7216,104,1344,1237,62,1436,358,13054,17,1708,34,97,1711,54,23,1392,20,18820,152,30259,411,15489,31950,17932,0,14,2786,5,198,60,5,567,13593,4603,6,466,12071,484,9,18655,9
238,112-7316-304_1,Medulloblastoma,7,1,121187,1450,174072,175,983,2,7750,75262,113,21,1697,0,535,12723,105530,4,1415,54,129,2366,47,150,335699,36,27083,205,49500,174,34757,154007,25927,0,3,2644,2,277,185,0,933,26726,39691,74,1074,5860,715,101407,26661,4
239,112-7316-313_1,Medulloblastoma,5,1,9367,1167,20113,214,226,7,1907,15259,93,502,903,52,451,1535,19252,9,1781,14,62,521,41,41,38993,12,63895,137,26813,552,50637,54385,15687,0,11,3368,0,184,301,1,1734,11755,8666,12,837,12574,1556,744,60728,12
240,112-7316-314_1,Medulloblastoma,2,0,2,638,15,128,120,0,957,4614,79,2323,1346,33,657,191,10810,13,2460,37,40,1601,39,31,45,17,23760,157,15995,459,18345,23397,8181,0,3,1943,3,85,77,2,816,6350,3058,8,459,22894,686,7,21203,4
241,112-7316-3025_1,Medulloblastoma,4,7,2650,1342,7210,122,429,7,6840,48246,288,143,4458,11,10920,23,48877,18,8417,21,83,415,80,17,14019,35,43619,325,55355,177,35885,143856,19895,7,66,4273,2,279,626,8,720,18610,5119,2,1073,69477,979,22,41727,57
242,112-7316-2178_1,Medulloblastoma,8,2,3117,919,6315,178,339,3,4504,52206,215,430,2431,58,438,1074,96874,21,2627,71,125,2827,32,54,11711,11,68897,156,39760,194,71747,121801,22358,0,19,8110,5,255,337,3,2398,14658,23551,22,2556,7383,1931,222,53067,10
243,112-7316-38_1,Medulloblastoma,4,0,80,894,127,87,145,1,3273,30768,77,3541,1385,111,1397,673,45531,7,3299,168,93,5928,26,34,293,1,37740,81,18864,433,41466,95255,10307,1,1,5158,1,115,385,2,1045,8290,8251,21,1211,12028,1288,14,40647,6
244,112-7316-2155_1,Medulloblastoma,15,35,17,624,39,120,324,4,1615,11884,103,8218,1629,99,1967,713,21674,29,2473,39,72,1614,51,37,43,15,29073,161,44263,656,23592,46789,23316,1,12,3044,0,280,173,4,756,18217,10545,15,491,16303,794,7,26808,8
245,112-7316-6_1,Medulloblastoma,32,1,1,728,12,80,725,10,7311,86850,302,34,1266,63,232,147,131631,37,858,7,239,244,12,20,11,6,64554,54,73120,475,63102,175401,40792,1,46,9119,3,492,913,3,2142,25260,3784,15,1035,45552,1498,8,53076,48
246,112-7316-99_1,Medulloblastoma,14,20,5166,737,9980,72,11,1,7025,73071,399,18,2054,3,371,867,77534,48,1948,54,164,2381,79,50,16490,38,24284,307,1071,213,35864,177750,397,1,26,5586,9,3,1030,5,638,420,12329,28,3333,6002,866,2652,31958,21
247,112-7316-931_1,Medulloblastoma,24,8,20,935,56,209,296,0,3834,44603,533,5,2018,38,96,108,59859,210,712,15,168,182,14,53,44,17,123804,47,37606,179,76216,96645,25249,3,49,9399,11,293,1001,1,2244,17087,6820,21,809,52795,1927,19,84680,87
248,112-7316-906_1,Medulloblastoma,13,3,6333,1271,14404,101,518,9,8815,74142,189,12,5136,25,4688,42,103487,9,3059,28,117,456,33,40,25889,7,35939,103,50679,58,44689,169431,19734,4,87,4689,0,275,919,2,1587,17130,4463,14,1430,55568,1260,1199,35686,77
249,112-7316-407_1,Medulloblastoma,1,1,151,869,214,98,123,0,1589,10696,104,2778,1628,131,329,1009,12997,54,3241,91,66,2561,43,41,375,17,20341,226,15745,372,24137,44340,8836,1,6,2801,5,129,179,1,1018,5879,11133,21,553,13748,802,44,26776,3
250,112-7316-278_1,Medulloblastoma,11,5,3,1122,15,108,472,1,6014,64313,510,53,724,16,16,27,93307,82,1378,14,106,291,28,68,17,16,91106,124,46844,806,49841,134268,31650,5,15,6055,4,409,424,8,1961,21328,3828,47,465,32049,1165,8,42881,24
251,112-7316-883_1,Medulloblastoma,7,8,12473,639,38254,123,347,2,7391,93064,157,684,4003,29,42,946,98165,17,1426,85,94,3692,15,40,80822,7,31408,69,35730,206,39948,167224,23440,2,3,4573,2,279,1180,5,800,19551,9615,32,2287,1739,853,6086,33683,3
252,112-7316-2169_1,Medulloblastoma,1,0,889,715,1616,113,69,1,747,5242,72,679,870,11,460,370,10492,12,1272,91,65,1947,26,22,3395,13,29439,124,8537,373,21788,20398,6415,0,4,1475,0,61,530,0,1037,4185,7476,15,267,11693,604,42,23672,10
253,112-7316-306_1,Medulloblastoma,7,21,199,2146,358,189,128,9,1512,12302,147,544,1226,38,594,838,20714,23,3452,84,61,2751,45,57,600,39,45241,240,15433,724,49599,35902,8604,0,24,3806,1,94,336,1,1990,5216,15226,23,1216,36505,1474,23,52130,14
254,112-7316-1772_1,Medulloblastoma,4,9,2370,2714,7558,155,78,21,5558,56782,115,367,3735,123,215,15840,88249,855,18858,108,267,4360,239,116,14861,84,19870,853,8010,2851,26361,114472,5732,12,303,3810,30,56,1789,17,1142,3878,31083,67,1845,17978,607,683,19115,209
255,112-7316-2986_1,Medulloblastoma,5,12,19278,2004,31025,184,357,2,2731,25166,232,1019,4376,10,327,1074,40393,51,2130,22,79,542,67,61,59528,34,56368,279,38727,447,62078,72655,25970,0,5,4532,4,350,299,2,2364,17562,56898,31,1535,15562,1484,517,55162,6
256,112-7316-467_1,Medulloblastoma,6,9,1991,1699,3053,224,100,6,1994,17407,80,1072,433,59,1687,853,20673,8,1466,111,51,4604,49,89,6241,31,44474,279,11630,403,59290,44754,6608,0,23,3401,1,69,212,2,2234,4396,40682,33,976,31373,1397,122,52469,17
