Sample_ID,class,miR-25-3p,miR-106b-3p,miR-217,miR-200c-3p,miR-4423-3p,miR-346,miR-4423-5p,miR-200a-3p,miR-106b-5p,miR-205-5p
108-7316-134_1,LGAT,2677,162,12,18,8,296,3,48,3160,4
108-7316-2195_1,LGAT,2482,131,8,45,20,255,10,70,2349,3
108-7316-2583_1,LGAT,4166,217,36,20,5,126,3,24,4118,5
108-7316-2581_1,LGAT,2980,101,15,31,16,96,10,50,3186,5
108-7316-186_1,LGAT,2654,113,7,13,56,290,21,65,2590,8
108-7316-206_1,LGAT,2483,158,40,39,39,418,27,62,2910,21
108-7316-207_1,LGAT,2896,174,16,22,1,180,1,57,3171,1
108-7316-176_1,LGAT,3340,149,5,19,513,58,383,62,3500,3
108-7316-119_1,LGAT,3341,190,11,39,2,338,3,35,3968,6
108-7316-127_1,LGAT,2779,152,5,17,6,248,8,28,3192,9
108-7316-2147_1,LGAT,3085,153,13,20,10,136,5,24,2930,7
108-7316-329_1,LGAT,3239,153,8,6,1,156,2,14,3047,1
108-7316-397_1,LGAT,3067,130,19,33,9,247,6,74,2819,0
108-7316-882_1,LGAT,2799,122,11,48,74,203,42,64,2838,9
112-7316-884_1,LGAT,9091,348,129,170,46,62,9,134,7879,12
112-7316-460_1,LGAT,20200,704,2,30,1,47,1,27,18537,0
112-7316-370_1,LGAT,8201,402,22,48,32,446,14,144,7838,13
112-7316-196_1,LGAT,4578,271,19,88,70,444,20,78,5543,9
112-7316-400_1,LGAT,6214,366,25,34,3,470,2,41,7559,5
112-7316-154_1,LGAT,9535,437,16,46,0,210,3,57,9871,4
112-7316-393_1,LGAT,9427,357,9,82,5,931,2,228,10272,8
112-7316-173_1,LGAT,14371,792,153,318,84,599,40,587,13831,22
112-7316-2667_1,LGAT,8307,559,11,24,5,455,1,164,11690,14
112-7316-475_1,LGAT,5636,346,41,50,37,508,29,150,7090,31
112-7316-487_1,LGAT,9075,494,28,38,3,457,1,46,9050,4
112-7316-1760_1,LGAT,6178,399,109,168,52,177,26,200,6718,13
112-7316-2174_1,LGAT,5260,301,10,87,2,287,6,114,6834,5
112-7316-441_1,LGAT,7193,322,28,46,9,759,5,135,7459,7
112-7316-936_1,LGAT,7279,366,73,78,39,285,13,253,7377,74
112-7316-938_1,LGAT,8053,362,48,53,10,176,6,60,8107,18
112-7316-946_1,LGAT,6027,305,20,42,50,732,18,129,7110,3
112-7316-2193_1,LGAT,6208,261,28,36,8,352,6,56,6211,13
112-7316-2900_1,LGAT,8118,342,53,109,66,390,21,159,6656,12
112-7316-869_1,LGAT,6161,340,27,37,22,541,16,98,6656,13
112-7316-9_1,LGAT,5364,290,8,10,5,133,5,45,5678,2
112-7316-167_1,LGAT,2,1,0,1,0,1,0,0,3,0
112-7316-2167_1,LGAT,5558,259,16,54,45,729,27,162,5742,11
112-7316-3068_1,LGAT,7772,321,28,7,7,268,24,23,6515,10
112-7316-32_1,LGAT,6959,419,14,72,18,632,11,158,7377,3
112-7316-891_1,LGAT,8222,548,24,46,2,763,1,56,9126,8
112-7316-875_1,LGAT,9120,513,8,131,11,689,5,137,8326,10
112-7316-2729_1,LGAT,8726,618,33,65,10,1342,2,67,10588,8
112-7316-350_1,LGAT,8704,790,18,74,29,365,5,34,7724,24
112-7316-897_1,Medulloblastoma,12679,591,6766,25,0,21,1,12,14971,3
112-7316-333_2,Medulloblastoma,64722,2096,33903,11,2,29,4,50,58517,1
112-7316-3023_3,Medulloblastoma,117362,3153,25606,24,8,135,3,42,79546,2
112-7316-378_1,Medulloblastoma,137556,4709,18863,60,7,23,8,163,120199,6
112-7316-179_1,Medulloblastoma,15866,847,24,30,21,9,25,37,15483,0
112-7316-178_1,Medulloblastoma,82789,3509,14821,18,0,22,1,12,66142,5
112-7316-347_1,Medulloblastoma,31092,1293,7710,18,0,22,0,12,26906,1
112-7316-302_1,Medulloblastoma,45790,1233,32282,61,4,10,3,8,41578,1
112-7316-358_1,Medulloblastoma,31281,1462,6352,27,10,27,5,23,34139,1
112-7316-922_1,Medulloblastoma,39891,1675,13581,26,2,12,3,24,29829,4
112-7316-153_1,Medulloblastoma,29629,1227,692,14,0,16,2,6,26806,16
